seller_id,seller_name,origin
1,Tesco,USA
2,Zappos,Japan
3,Best Buy,Germany
4,Walmart,India
5,eBay,UK
6,H&M Online,India
7,GameStop,India
8,Lidl,USA
9,Trader Joe's,Germany
10,Etsy,Japan
11,Shopee,China
12,Sephora,China
13,Overstock,India
14,ASDA,Germany
15,B&H Photo,UK
16,Target,USA
17,Sprouts Farmers Market,Germany
18,IKEA,Germany
19,Home Depot,USA
20,Farfetch,India
21,Rakuten,Germany
22,Nordstrom,China
23,ALDI,USA
24,REI,UK
25,Wayfair,Japan
26,Shein,India
27,Boohoo,USA
28,JD.com,Japan
29,E.Leclerc,Japan
30,AliExpress,UK
31,Net-a-Porter,Germany
32,Kohl's,UK
33,ASOS,Germany
34,Whole Foods,Germany
35,Snapdeal,USA
36,Flipkart,USA
37,Chewy,India
38,Waitrose,Germany
39,Sainsbury's,Japan
40,Marks & Spencer,China
41,Costco,India
42,Carrefour,USA
43,Bluestone,UK
44,Jumia,India
45,Revolve,India
46,Barnes & Noble,India
47,Zalando,India
48,Foot Locker,China
49,Newegg,UK
50,Shopify,UK
51,Amazon,UK
52,Ocado,Germany
53,Argos,Japan
54,BigBasket,UK
55,Mr Porter,India
